id,chart_week_id,rank,rank_change,points,points_change_pct,peak,woc,sales,sales_share_pct,streams,streams_share_pct,airplay,airplay_share_pct,units,song_id,created_at
149,2,49,-26,62,-44.0,23,2,1000,2.0,7500000,90.0,3900000,8.0,56600,19,2025-08-20 02:55:09
150,2,50,2,60,-4.0,20,12,200,0.0,8100000,99.0,100000,0.0,58700,52,2025-08-20 02:55:09
151,2,51,14,59,11.0,51,19,1000,2.0,3100000,33.0,30700000,65.0,18900,66,2025-08-20 02:55:09
152,2,52,10,59,9.0,52,8,4000,7.0,7600000,87.0,2800000,6.0,52900,62,2025-08-20 02:55:09
153,2,53,0,58,-4.0,30,7,500,1.0,7600000,92.0,3400000,7.0,51700,53,2025-08-20 02:55:09
154,2,54,9,58,7.0,54,7,2000,3.0,4900000,54.0,19800000,43.0,30800,63,2025-08-20 02:55:09
155,2,55,0,58,,55,1,200,0.0,7700000,100.0,0,0.0,57500,102,2025-08-20 02:55:09
156,2,56,-1,57,-2.0,17,60,200,0.0,6800000,78.0,9800000,22.0,43800,56,2025-08-20 02:55:09
157,2,57,3,57,1.0,10,7,500,1.0,4400000,49.0,22800000,50.0,26800,59,2025-08-20 02:55:09
158,2,58,-11,56,-28.0,44,3,1000,2.0,6700000,88.0,4300000,10.0,50300,44,2025-08-20 02:55:09
159,2,59,-3,55,-6.0,44,12,700,1.0,4600000,57.0,18200000,42.0,31500,55,2025-08-20 02:55:09
160,2,60,-3,54,-5.0,8,16,600,1.0,7400000,90.0,3800000,9.0,46700,60,2025-08-20 02:55:09
161,2,61,3,54,2.0,56,15,1500,3.0,7800000,95.0,800000,2.0,50000,65,2025-08-20 02:55:09
162,2,62,0,54,,62,1,300,0.0,7000000,98.0,700000,2.0,52400,103,2025-08-20 02:55:09
163,2,63,-2,53,-6.0,28,4,900,2.0,6700000,86.0,5100000,12.0,46100,61,2025-08-20 02:55:09
164,2,64,4,53,5.0,64,16,300,1.0,6000000,76.0,10000000,24.0,38900,68,2025-08-20 02:55:09
165,2,65,-7,51,-8.0,33,10,1000,2.0,6700000,94.0,1600000,4.0,48600,58,2025-08-20 02:55:09
166,2,66,1,51,2.0,66,5,600,1.0,7100000,99.0,0,0.0,51000,67,2025-08-20 02:55:09
167,2,67,8,51,13.0,67,4,900,2.0,6500000,96.0,1000000,2.0,48900,75,2025-08-20 02:55:09
168,2,68,4,50,4.0,61,16,2500,5.0,6400000,84.0,4300000,11.0,43200,69,2025-08-20 02:55:09
169,2,69,5,50,10.0,69,3,200,0.0,6900000,99.0,100000,0.0,49400,74,2025-08-20 02:55:09
170,2,70,-31,50,-40.0,39,3,3500,7.0,6700000,89.0,1600000,4.0,46300,40,2025-08-20 02:55:09
171,2,71,-20,49,-24.0,41,3,200,0.0,6700000,99.0,200000,0.0,48500,51,2025-08-20 02:55:09
172,2,72,-1,48,0.0,55,16,200,0.0,4800000,71.0,11000000,29.0,34000,72,2025-08-20 02:55:09
173,2,73,-4,48,-1.0,8,13,300,1.0,6900000,99.0,100000,0.0,45800,70,2025-08-20 02:55:09
174,2,74,6,46,7.0,74,5,500,1.0,3900000,55.0,16400000,44.0,24100,80,2025-08-20 02:55:09
175,2,75,-5,45,-6.0,18,18,300,1.0,1900000,29.0,25600000,71.0,12800,71,2025-08-20 02:55:09
